rule,id
?b  9  ?a   => ?a  9  ?b,1
?b  7  ?a   => ?a  7  ?b,2
?b  16  ?a   => ?a  16  ?b,3
?b  24  ?a   => ?a  24  ?b,4
?b  27  ?a   => ?a  27  ?b,5
?b  21  ?a   => ?a  21  ?b,6
?b  26  ?a   => ?a  26  ?b,7
?b  32  ?a   => ?a  32  ?b,8
?b  25  ?a   => ?a  25  ?b,9
?b  47  ?a   => ?a  47  ?b,10
?b  34  ?a   => ?a  34  ?b,11
?b  29  ?a   => ?a  29  ?b,12
?b  15  ?a   => ?a  15  ?b,13
?b  28  ?a   => ?a  28  ?b,14
?b  36  ?a   => ?a  36  ?b,15
?b  37  ?a   => ?a  37  ?b,16
?b  49  ?a   => ?a  49  ?b,17
?b  20  ?a   => ?a  20  ?b,18
?b  10  ?a   => ?a  10  ?b,19
?b  30  ?a   => ?a  30  ?b,20
?b  3  ?a   => ?a  3  ?b,21
?b  48  ?a   => ?a  48  ?b,22
?b  4  ?a   => ?a  4  ?b,23
?b  33  ?a   => ?a  33  ?b,24
?b  17  ?a   => ?a  17  ?b,25
?b  35  ?a   => ?a  35  ?b,26
?b  12  ?a   => ?a  12  ?b,27
?b  39  ?a   => ?a  39  ?b,28
?b  18  ?a   => ?a  18  ?b,29
?b  8  ?a   => ?a  8  ?b,30
?b  5  ?a   => ?a  5  ?b,31
?b  44  ?a   => ?a  44  ?b,32
?b  22  ?a   => ?a  22  ?b,33
?b  2  ?a   => ?a  2  ?b,34
?b  11  ?a   => ?a  11  ?b,35
?b  38  ?a   => ?a  38  ?b,36
?b  19  ?a   => ?a  19  ?b,37
?b  14  ?a   => ?a  14  ?b,38
?b  31  ?a   => ?a  31  ?b,39
?b  13  ?a   => ?a  13  ?b,40
?b  23  ?a   => ?a  23  ?b,41
?b  6  ?a   => ?a  6  ?b,42
?b  46  ?a   => ?a  46  ?b,43
?b  45  ?a   => ?a  45  ?b,44
?b  50  ?a   => ?a  50  ?b,45
?b  42  ?a   => ?a  42  ?b,46
?f  6  ?a  ?b  6  ?f   => ?a  11  ?b,47
?a  6  ?f  ?b  6  ?f   => ?a  11  ?b,48
?e  6  ?b  ?a  6  ?e   => ?a  11  ?b,49
?e  6  ?a  ?e  6  ?b   => ?a  11  ?b,50
?b  14  ?f  ?f  6  ?a   => ?a  5  ?b,51
?b  14  ?f  ?a  6  ?f   => ?a  5  ?b,52
?a  14  ?f  ?b  6  ?f   => ?a  5  ?b,53
?f  14  ?a  ?b  6  ?f   => ?a  5  ?b,54
?e  14  ?b  ?e  6  ?a   => ?a  5  ?b,55
?e  14  ?b  ?a  6  ?e   => ?a  5  ?b,56
?e  14  ?a  ?e  6  ?b   => ?a  5  ?b,57
?a  14  ?e  ?e  6  ?b   => ?a  5  ?b,58
?a  6  ?f  ?b  6  ?f   => ?a  22  ?b,59
?f  6  ?a  ?b  6  ?f   => ?a  22  ?b,60
?e  6  ?b  ?a  6  ?e   => ?a  22  ?b,61
?e  6  ?a  ?e  6  ?b   => ?a  22  ?b,62
?f  14  ?a  ?b  14  ?f   => ?a  5  ?b,63
?a  14  ?f  ?b  14  ?f   => ?a  5  ?b,64
?e  14  ?b  ?a  14  ?e   => ?a  5  ?b,65
?e  14  ?a  ?e  14  ?b   => ?a  5  ?b,66
?a  6  ?f  ?b  6  ?f   => ?a  5  ?b,67
?f  6  ?a  ?b  6  ?f   => ?a  5  ?b,68
?e  6  ?b  ?a  6  ?e   => ?a  5  ?b,69
?e  6  ?a  ?e  6  ?b   => ?a  5  ?b,70
?b  14  ?f  ?a  6  ?f   => ?a  22  ?b,71
?b  14  ?f  ?f  6  ?a   => ?a  22  ?b,72
?e  14  ?b  ?a  6  ?e   => ?a  22  ?b,73
?e  14  ?b  ?e  6  ?a   => ?a  22  ?b,74
?a  14  ?f  ?b  6  ?f   => ?a  22  ?b,75
?f  14  ?a  ?b  6  ?f   => ?a  22  ?b,76
?a  14  ?e  ?e  6  ?b   => ?a  22  ?b,77
?e  14  ?a  ?e  6  ?b   => ?a  22  ?b,78
?b  23  ?f  ?a  6  ?f   => ?a  11  ?b,79
?b  23  ?f  ?f  6  ?a   => ?a  11  ?b,80
?a  23  ?f  ?b  6  ?f   => ?a  11  ?b,81
?f  23  ?a  ?b  6  ?f   => ?a  11  ?b,82
?e  23  ?b  ?a  6  ?e   => ?a  11  ?b,83
?e  23  ?b  ?e  6  ?a   => ?a  11  ?b,84
?a  23  ?e  ?e  6  ?b   => ?a  11  ?b,85
?e  23  ?a  ?e  6  ?b   => ?a  11  ?b,86
