id,rule
0,?b c ?a => ?a c ?b
1,?f c ?a ?b c ?f => ?a c ?b
2,?a c ?f ?b c ?f => ?a c ?b
3,?e c ?b ?a c ?e => ?a c ?b
4,?e c ?a ?e c ?b => ?a c ?b
5,?b c ?f ?f c ?a => ?a c ?b
6,?b c ?f ?a c ?f => ?a c ?b
7,?e c ?b ?e c ?a => ?a c ?b
8,?a c ?e ?e c ?b => ?a c ?b
9,?a c ?f ?f c ?b => ?a c ?b
10,?f c ?b ?a c ?f => ?a c ?b
11,?e c ?a ?b c ?e => ?a c ?b
12,?b c ?e ?e c ?a => ?a c ?b
13,?a c ?b => ?a c ?b
14,?a c ?b ?b c ?a => ?a c ?b
15,?b c ?a ?b c ?a => ?a c ?b
16,?b c ?a ?a c ?b => ?a c ?b
17,?a c ?b ?a c ?b => ?a c ?b
