label,ID
disease_1718,0
protein_3207,1
disease_4903,2
protein_13662,3
disease_5480,4
protein_15999,5
disease_3148,6
protein_7247,7
disease_10300,8
protein_16202,9
disease_1614,10
protein_3358,11
disease_2896,12
protein_7142,13
disease_259,14
protein_13278,15
disease_10298,16
protein_168,17
disease_4237,18
disease_9996,19
protein_12268,20
disease_5625,21
protein_1279,22
disease_1496,23
protein_1350,24
disease_3382,25
protein_15142,26
disease_5337,27
protein_12306,28
disease_9419,29
protein_16033,30
disease_10526,31
protein_529,32
disease_42,33
protein_10096,34
disease_243,35
protein_3208,36
disease_3487,37
protein_6778,38
protein_6731,39
disease_9003,40
protein_3868,41
disease_4438,42
protein_17390,43
disease_7173,44
protein_9594,45
disease_158,46
protein_10429,47
disease_9214,48
protein_3402,49
disease_375,50
protein_16221,51
disease_1231,52
protein_12184,53
disease_2099,54
protein_12097,55
disease_935,56
protein_8662,57
disease_2803,58
protein_12533,59
protein_14956,60
disease_789,61
protein_56,62
protein_1543,63
disease_1263,64
protein_8444,65
disease_2645,66
protein_16178,67
disease_4839,68
protein_1112,69
disease_5633,70
protein_410,71
disease_2122,72
protein_2490,73
protein_9654,74
disease_2063,75
protein_5861,76
disease_498,77
protein_1767,78
disease_1083,79
protein_3487,80
disease_6132,81
protein_16900,82
disease_552,83
protein_6200,84
disease_5330,85
protein_12441,86
disease_3252,87
protein_13619,88
disease_2036,89
protein_7996,90
disease_4229,91
protein_9040,92
protein_4385,93
disease_4764,94
protein_9937,95
disease_4737,96
protein_2212,97
disease_756,98
protein_2740,99
disease_3856,100
protein_7869,101
disease_5644,102
protein_439,103
protein_291,104
disease_381,105
protein_10388,106
disease_3760,107
protein_8355,108
disease_1726,109
protein_6751,110
disease_9085,111
protein_13161,112
disease_3865,113
protein_8073,114
protein_1343,115
disease_905,116
protein_2412,117
disease_1111,118
protein_2571,119
disease_3149,120
protein_10306,121
disease_595,122
protein_6673,123
protein_11851,124
disease_4580,125
protein_7141,126
