label,ID
disease-protein,0
drug-disease,1
drug-drug_acquired_metabolic_disease,2
drug-drug_bacterial_infectious_disease,3
drug-drug_benign_neoplasm,4
drug-drug_cancer,5
drug-drug_cardiovascular_system_disease,6
drug-drug_chromosomal_disease,7
drug-drug_cognitive_disorder,8
drug-drug_cryptorchidism,9
drug-drug_developmental_disorder_of_mental_health,10
drug-drug_endocrine_system_disease,11
drug-drug_fungal_infectious_disease,12
drug-drug_gastrointestinal_system_disease,13
drug-drug_hematopoietic_system_disease,14
drug-drug_hematopoietic_system_diseases,15
drug-drug_hypospadias,16
drug-drug_immune_system_disease,17
drug-drug_inherited_metabolic_disorder,18
drug-drug_integumentary_system_disease,19
drug-drug_irritable_bowel_syndrome,20
drug-drug_monogenic_disease,21
drug-drug_musculoskeletal_system_disease,22
drug-drug_nervous_system_disease,23
drug-drug_orofacial_cleft,24
drug-drug_parasitic_infectious_disease,25
drug-drug_personality_disorder,26
drug-drug_polycystic_ovary_syndrome,27
drug-drug_pre-malignant_neoplasm,28
drug-drug_psoriatic_arthritis,29
drug-drug_reproductive_system_disease,30
drug-drug_respiratory_system_disease,31
drug-drug_sexual_disorder,32
drug-drug_sleep_disorder,33
drug-drug_somatoform_disorder,34
drug-drug_struct_sim,35
drug-drug_substance-related_disorder,36
drug-drug_thoracic_disease,37
drug-drug_urinary_system_disease,38
drug-drug_viral_infectious_disease,39
drug-protein,40
drug-sideeffect,41
function-function,42
protein-function,43
protein-protein_activation,44
protein-protein_binding,45
protein-protein_catalysis,46
protein-protein_expression,47
protein-protein_inhibition,48
protein-protein_ptmod,49
protein-protein_reaction,50
