id,rule,Instances
0,?b 9 ?a => ?a 9 ?b,18959 9 20014 => 20014 9 18959
1,?b 16 ?a => ?a 16 ?b,19080 16 20257 => 20257 16 19080
2,?b 24 ?a => ?a 24 ?b,19284 24 19390 => 19390 24 19284
3,?b 7 ?a => ?a 7 ?b,19488 7 19444 => 19444 7 19488
4,?b 9 ?a => ?a 24 ?b,18959 9 20014 => 20014 24 18959
5,?a 9 ?b => ?a 24 ?b,18959 9 20014 => 18959 24 20014
6,?b 27 ?a => ?a 27 ?b,20568 27 20562 => 20562 27 20568
7,?b 21 ?a => ?a 21 ?b,20572 21 20525 => 20525 21 20572
8,?b 26 ?a => ?a 26 ?b,18946 26 20515 => 20515 26 18946
9,?b 32 ?a => ?a 32 ?b,20547 32 20499 => 20499 32 20547
10,?b 27 ?a => ?a 32 ?b,<NA>
11,?a 27 ?b => ?a 32 ?b,<NA>
12,?b 25 ?a => ?a 25 ?b,19989 25 18930 => 18930 25 19989
13,?b 16 ?a => ?a 25 ?b,19190 16 20007 => 20007 25 19190
14,?b 7 ?a => ?a 25 ?b,<NA>
15,?a 7 ?b => ?a 25 ?b,<NA>
16,?a 16 ?b => ?a 25 ?b,19190 16 20007 => 19190 25 20007
17,?b 15 ?a => ?a 15 ?b,20084 15 19325 => 19325 15 20084
18,?b 16 ?a => ?a 15 ?b,<NA>
19,?b 24 ?a => ?a 15 ?b,<NA>
20,?a 24 ?b => ?a 15 ?b,<NA>
21,?a 16 ?b => ?a 15 ?b,<NA>
22,?b 47 ?a => ?a 47 ?b,370 47 15641 => 15641 47 370
23,?b 34 ?a => ?a 34 ?b,20507 34 20505 => 20505 34 20507
24,?b 16 ?a => ?a 34 ?b,<NA>
25,?b 26 ?a => ?a 34 ?b,<NA>
26,?b 24 ?a => ?a 34 ?b,<NA>
27,?b 27 ?a => ?a 34 ?b,<NA>
28,?a 26 ?b => ?a 34 ?b,<NA>
29,?a 16 ?b => ?a 34 ?b,<NA>
30,?a 27 ?b => ?a 34 ?b,<NA>
31,?a 24 ?b => ?a 34 ?b,<NA>
32,?b 29 ?a => ?a 29 ?b,19261 29 20072 => 20072 29 19261
33,?b 16 ?a => ?a 29 ?b,<NA>
34,?a 16 ?b => ?a 29 ?b,<NA>
35,?b 28 ?a => ?a 28 ?b,19553 28 20510 => 20510 28 19553
36,?b 29 ?a => ?a 28 ?b,<NA>
37,?b 21 ?a => ?a 28 ?b,19199 21 19579 => 19579 28 19199
38,?b 32 ?a => ?a 28 ?b,<NA>
39,?b 37 ?a => ?a 28 ?b,<NA>
40,?a 32 ?b => ?a 28 ?b,<NA>
41,?b 25 ?a => ?a 28 ?b,<NA>
42,?a 21 ?b => ?a 28 ?b,19199 21 19579 => 19199 28 19579
43,?a 25 ?b => ?a 28 ?b,<NA>
44,?a 37 ?b => ?a 28 ?b,<NA>
45,?a 29 ?b => ?a 28 ?b,<NA>
46,?b 36 ?a => ?a 36 ?b,19095 36 19050 => 19050 36 19095
47,?b 34 ?a => ?a 36 ?b,<NA>
48,?b 10 ?a => ?a 36 ?b,<NA>
49,?b 7 ?a => ?a 36 ?b,19462 7 19196 => 19196 36 19462
50,?b 27 ?a => ?a 36 ?b,<NA>
51,?b 26 ?a => ?a 36 ?b,19284 26 19585 => 19585 36 19284
52,?a 7 ?b => ?a 36 ?b,19462 7 19196 => 19462 36 19196
53,?a 27 ?b => ?a 36 ?b,<NA>
54,?a 26 ?b => ?a 36 ?b,19284 26 19585 => 19284 36 19585
55,?a 10 ?b => ?a 36 ?b,<NA>
56,?a 34 ?b => ?a 36 ?b,<NA>
57,?b 37 ?a => ?a 37 ?b,19252 37 19383 => 19383 37 19252
58,?b 7 ?a => ?a 37 ?b,19488 7 19444 => 19444 37 19488
59,?b 24 ?a => ?a 37 ?b,<NA>
60,?b 26 ?a => ?a 37 ?b,18946 26 20515 => 20515 37 18946
61,?b 25 ?a => ?a 37 ?b,<NA>
62,?b 21 ?a => ?a 37 ?b,<NA>
63,?b 27 ?a => ?a 37 ?b,<NA>
64,?b 34 ?a => ?a 37 ?b,<NA>
65,?b 36 ?a => ?a 37 ?b,<NA>
66,?b 29 ?a => ?a 37 ?b,<NA>
67,?b 32 ?a => ?a 37 ?b,<NA>
68,?b 15 ?a => ?a 37 ?b,<NA>
69,?a 26 ?b => ?a 37 ?b,18946 26 20515 => 18946 37 20515
70,?a 21 ?b => ?a 37 ?b,<NA>
71,?a 24 ?b => ?a 37 ?b,<NA>
72,?a 7 ?b => ?a 37 ?b,19488 7 19444 => 19488 37 19444
73,?b 28 ?a => ?a 37 ?b,<NA>
74,?b 30 ?a => ?a 37 ?b,<NA>
75,?a 27 ?b => ?a 37 ?b,<NA>
76,?a 34 ?b => ?a 37 ?b,<NA>
77,?b 20 ?a => ?a 37 ?b,<NA>
78,?a 36 ?b => ?a 37 ?b,<NA>
79,?a 28 ?b => ?a 37 ?b,<NA>
80,?b 10 ?a => ?a 37 ?b,<NA>
81,?a 25 ?b => ?a 37 ?b,<NA>
82,?a 10 ?b => ?a 37 ?b,<NA>
83,?a 29 ?b => ?a 37 ?b,<NA>
84,?a 20 ?b => ?a 37 ?b,<NA>
85,?a 32 ?b => ?a 37 ?b,<NA>
86,?a 15 ?b => ?a 37 ?b,<NA>
87,?a 30 ?b => ?a 37 ?b,<NA>
88,?b 20 ?a => ?a 20 ?b,19084 20 20047 => 20047 20 19084
89,?b 21 ?a => ?a 20 ?b,19199 21 19579 => 19579 20 19199
90,?b 18 ?a => ?a 20 ?b,<NA>
91,?b 3 ?a => ?a 20 ?b,<NA>
92,?b 29 ?a => ?a 20 ?b,<NA>
93,?b 27 ?a => ?a 20 ?b,<NA>
94,?b 34 ?a => ?a 20 ?b,<NA>
95,?b 37 ?a => ?a 20 ?b,<NA>
96,?b 5 ?a => ?a 20 ?b,<NA>
97,?b 39 ?a => ?a 20 ?b,19383 39 20585 => 20585 20 19383
98,?b 26 ?a => ?a 20 ?b,18946 26 20515 => 20515 20 18946
99,?b 15 ?a => ?a 20 ?b,<NA>
100,?b 28 ?a => ?a 20 ?b,<NA>
101,?b 2 ?a => ?a 20 ?b,<NA>
102,?b 11 ?a => ?a 20 ?b,19610 11 20501 => 20501 20 19610
103,?b 22 ?a => ?a 20 ?b,<NA>
104,?b 17 ?a => ?a 20 ?b,<NA>
105,?b 10 ?a => ?a 20 ?b,<NA>
106,?b 36 ?a => ?a 20 ?b,<NA>
107,?b 33 ?a => ?a 20 ?b,<NA>
108,?b 12 ?a => ?a 20 ?b,<NA>
109,?b 32 ?a => ?a 20 ?b,<NA>
110,?b 25 ?a => ?a 20 ?b,<NA>
111,?b 8 ?a => ?a 20 ?b,<NA>
112,?b 4 ?a => ?a 20 ?b,20562 4 20062 => 20062 20 20562
113,?b 30 ?a => ?a 20 ?b,<NA>
114,?a 32 ?b => ?a 20 ?b,<NA>
115,?a 27 ?b => ?a 20 ?b,<NA>
116,?a 21 ?b => ?a 20 ?b,19199 21 19579 => 19199 20 19579
117,?a 26 ?b => ?a 20 ?b,18946 26 20515 => 18946 20 20515
118,?a 28 ?b => ?a 20 ?b,<NA>
119,?a 22 ?b => ?a 20 ?b,<NA>
120,?a 37 ?b => ?a 20 ?b,<NA>
121,?a 10 ?b => ?a 20 ?b,<NA>
122,?a 15 ?b => ?a 20 ?b,<NA>
123,?a 3 ?b => ?a 20 ?b,<NA>
124,?a 33 ?b => ?a 20 ?b,<NA>
125,?a 30 ?b => ?a 20 ?b,<NA>
126,?a 25 ?b => ?a 20 ?b,<NA>
127,?a 29 ?b => ?a 20 ?b,<NA>
128,?a 17 ?b => ?a 20 ?b,<NA>
129,?a 4 ?b => ?a 20 ?b,20562 4 20062 => 20562 20 20062
130,?a 12 ?b => ?a 20 ?b,<NA>
131,?a 39 ?b => ?a 20 ?b,19383 39 20585 => 19383 20 20585
132,?a 36 ?b => ?a 20 ?b,<NA>
133,?a 5 ?b => ?a 20 ?b,<NA>
134,?a 2 ?b => ?a 20 ?b,<NA>
135,?a 34 ?b => ?a 20 ?b,<NA>
136,?a 11 ?b => ?a 20 ?b,19610 11 20501 => 19610 20 20501
137,?a 8 ?b => ?a 20 ?b,<NA>
138,?a 18 ?b => ?a 20 ?b,<NA>
139,?b 49 ?a => ?a 49 ?b,15916 49 8851 => 8851 49 15916
140,?a 47 ?b => ?a 49 ?b,<NA>
141,?b 47 ?a => ?a 49 ?b,<NA>
142,?b 10 ?a => ?a 10 ?b,19237 10 20532 => 20532 10 19237
143,?a 48 ?b => ?a 49 ?b,2534 48 93010 => 2534 49 93010
144,?b 48 ?a => ?a 49 ?b,2534 48 93010 => 93010 49 2534
145,?b 21 ?a => ?a 10 ?b,<NA>
146,?b 27 ?a => ?a 10 ?b,<NA>
147,?b 32 ?a => ?a 10 ?b,<NA>
148,?b 15 ?a => ?a 10 ?b,20084 15 19325 => 19325 10 20084
149,?b 26 ?a => ?a 10 ?b,18946 26 20515 => 20515 10 18946
150,?b 37 ?a => ?a 10 ?b,19252 37 19383 => 19383 10 19252
151,?b 13 ?a => ?a 10 ?b,<NA>
152,?b 25 ?a => ?a 10 ?b,<NA>
153,?b 31 ?a => ?a 10 ?b,<NA>
154,?b 14 ?a => ?a 10 ?b,<NA>
155,?b 22 ?a => ?a 10 ?b,<NA>
156,?b 29 ?a => ?a 10 ?b,<NA>
157,?b 28 ?a => ?a 10 ?b,<NA>
158,?b 19 ?a => ?a 10 ?b,<NA>
159,?b 11 ?a => ?a 10 ?b,<NA>
160,?b 36 ?a => ?a 10 ?b,19095 36 19050 => 19050 10 19095
161,?b 39 ?a => ?a 10 ?b,<NA>
162,?b 6 ?a => ?a 10 ?b,<NA>
163,?b 23 ?a => ?a 10 ?b,<NA>
164,?b 34 ?a => ?a 10 ?b,20507 34 20505 => 20505 10 20507
165,?a 26 ?b => ?a 10 ?b,18946 26 20515 => 18946 10 20515
166,?a 27 ?b => ?a 10 ?b,<NA>
167,?b 30 ?a => ?a 10 ?b,<NA>
168,?b 2 ?a => ?a 10 ?b,<NA>
169,?a 21 ?b => ?a 10 ?b,<NA>
170,?b 38 ?a => ?a 10 ?b,<NA>
171,?b 20 ?a => ?a 10 ?b,19084 20 20047 => 20047 10 19084
172,?b 8 ?a => ?a 10 ?b,19143 8 18927 => 18927 10 19143
173,?b 12 ?a => ?a 10 ?b,<NA>
174,?b 5 ?a => ?a 10 ?b,<NA>
175,?b 3 ?a => ?a 10 ?b,<NA>
176,?a 25 ?b => ?a 10 ?b,<NA>
177,?b 33 ?a => ?a 10 ?b,<NA>
178,?b 17 ?a => ?a 10 ?b,<NA>
179,?b 4 ?a => ?a 10 ?b,<NA>
180,?a 15 ?b => ?a 10 ?b,20084 15 19325 => 20084 10 19325
181,?b 18 ?a => ?a 10 ?b,<NA>
182,?a 37 ?b => ?a 10 ?b,19252 37 19383 => 19252 10 19383
183,?a 28 ?b => ?a 10 ?b,<NA>
184,?a 6 ?b => ?a 10 ?b,<NA>
185,?a 20 ?b => ?a 10 ?b,19084 20 20047 => 19084 10 20047
186,?a 29 ?b => ?a 10 ?b,<NA>
187,?a 32 ?b => ?a 10 ?b,<NA>
188,?a 13 ?b => ?a 10 ?b,<NA>
189,?a 3 ?b => ?a 10 ?b,<NA>
190,?a 36 ?b => ?a 10 ?b,19095 36 19050 => 19095 10 19050
191,?a 17 ?b => ?a 10 ?b,<NA>
192,?a 30 ?b => ?a 10 ?b,<NA>
193,?a 39 ?b => ?a 10 ?b,<NA>
194,?a 4 ?b => ?a 10 ?b,<NA>
195,?a 31 ?b => ?a 10 ?b,<NA>
196,?a 22 ?b => ?a 10 ?b,<NA>
197,?a 2 ?b => ?a 10 ?b,<NA>
198,?a 34 ?b => ?a 10 ?b,20507 34 20505 => 20507 10 20505
199,?a 11 ?b => ?a 10 ?b,<NA>
200,?a 23 ?b => ?a 10 ?b,<NA>
201,?a 14 ?b => ?a 10 ?b,<NA>
202,?a 8 ?b => ?a 10 ?b,19143 8 18927 => 19143 10 18927
203,?a 19 ?b => ?a 10 ?b,<NA>
204,?a 33 ?b => ?a 10 ?b,<NA>
205,?a 12 ?b => ?a 10 ?b,<NA>
206,?a 38 ?b => ?a 10 ?b,<NA>
207,?a 5 ?b => ?a 10 ?b,<NA>
208,?a 18 ?b => ?a 10 ?b,<NA>
209,?b 30 ?a => ?a 30 ?b,20015 30 19196 => 19196 30 20015
210,?b 26 ?a => ?a 30 ?b,18946 26 20515 => 20515 30 18946
211,?b 34 ?a => ?a 30 ?b,<NA>
212,?b 36 ?a => ?a 30 ?b,19095 36 19050 => 19050 30 19095
213,?b 29 ?a => ?a 30 ?b,<NA>
214,?b 15 ?a => ?a 30 ?b,<NA>
215,?b 21 ?a => ?a 30 ?b,19170 21 19532 => 19532 30 19170
216,?b 37 ?a => ?a 30 ?b,19252 37 19383 => 19383 30 19252
217,?b 20 ?a => ?a 30 ?b,19084 20 20047 => 20047 30 19084
218,?b 32 ?a => ?a 30 ?b,<NA>
219,?b 24 ?a => ?a 30 ?b,19284 24 19390 => 19390 30 19284
220,?b 13 ?a => ?a 30 ?b,<NA>
221,?b 10 ?a => ?a 30 ?b,<NA>
222,?b 27 ?a => ?a 30 ?b,20568 27 20562 => 20562 30 20568
223,?b 6 ?a => ?a 30 ?b,<NA>
224,?b 33 ?a => ?a 30 ?b,19287 33 19170 => 19170 30 19287
225,?b 19 ?a => ?a 30 ?b,<NA>
226,?b 28 ?a => ?a 30 ?b,<NA>
227,?b 22 ?a => ?a 30 ?b,<NA>
228,?b 3 ?a => ?a 30 ?b,<NA>
229,?b 14 ?a => ?a 30 ?b,<NA>
230,?b 12 ?a => ?a 30 ?b,20555 12 19354 => 19354 30 20555
231,?b 23 ?a => ?a 30 ?b,<NA>
232,?b 2 ?a => ?a 30 ?b,<NA>
233,?b 39 ?a => ?a 30 ?b,<NA>
234,?b 31 ?a => ?a 30 ?b,<NA>
235,?b 11 ?a => ?a 30 ?b,<NA>
236,?b 25 ?a => ?a 30 ?b,<NA>
237,?b 18 ?a => ?a 30 ?b,<NA>
238,?b 38 ?a => ?a 30 ?b,<NA>
239,?b 17 ?a => ?a 30 ?b,<NA>
240,?b 8 ?a => ?a 30 ?b,<NA>
241,?b 4 ?a => ?a 30 ?b,<NA>
242,?b 5 ?a => ?a 30 ?b,18944 5 19124 => 19124 30 18944
243,?a 26 ?b => ?a 30 ?b,18946 26 20515 => 18946 30 20515
244,?a 24 ?b => ?a 30 ?b,19284 24 19390 => 19284 30 19390
245,?a 21 ?b => ?a 30 ?b,19170 21 19532 => 19170 30 19532
246,?a 36 ?b => ?a 30 ?b,19095 36 19050 => 19095 30 19050
247,?a 29 ?b => ?a 30 ?b,<NA>
248,?a 27 ?b => ?a 30 ?b,20568 27 20562 => 20568 30 20562
249,?a 34 ?b => ?a 30 ?b,<NA>
250,?a 25 ?b => ?a 30 ?b,<NA>
251,?a 12 ?b => ?a 30 ?b,20555 12 19354 => 20555 30 19354
252,?a 39 ?b => ?a 30 ?b,<NA>
253,?a 6 ?b => ?a 30 ?b,<NA>
254,?a 32 ?b => ?a 30 ?b,<NA>
255,?a 33 ?b => ?a 30 ?b,19287 33 19170 => 19287 30 19170
256,?a 4 ?b => ?a 30 ?b,<NA>
257,?a 28 ?b => ?a 30 ?b,<NA>
258,?a 19 ?b => ?a 30 ?b,<NA>
259,?a 5 ?b => ?a 30 ?b,18944 5 19124 => 18944 30 19124
260,?a 3 ?b => ?a 30 ?b,<NA>
261,?a 14 ?b => ?a 30 ?b,<NA>
262,?a 13 ?b => ?a 30 ?b,<NA>
263,?a 38 ?b => ?a 30 ?b,<NA>
264,?a 11 ?b => ?a 30 ?b,<NA>
265,?a 2 ?b => ?a 30 ?b,<NA>
266,?a 31 ?b => ?a 30 ?b,<NA>
267,?a 15 ?b => ?a 30 ?b,<NA>
268,?a 37 ?b => ?a 30 ?b,19252 37 19383 => 19252 30 19383
269,?a 22 ?b => ?a 30 ?b,<NA>
270,?a 20 ?b => ?a 30 ?b,19084 20 20047 => 19084 30 20047
271,?a 18 ?b => ?a 30 ?b,<NA>
272,?a 8 ?b => ?a 30 ?b,<NA>
273,?a 17 ?b => ?a 30 ?b,<NA>
274,?a 10 ?b => ?a 30 ?b,<NA>
275,?a 23 ?b => ?a 30 ?b,<NA>
276,?b 48 ?a => ?a 48 ?b,29924 48 11121 => 11121 48 29924
277,?b 49 ?a => ?a 48 ?b,15916 49 8851 => 8851 48 15916
278,?a 49 ?b => ?a 48 ?b,15916 49 8851 => 15916 48 8851
279,?b 3 ?a => ?a 3 ?b,19001 3 19325 => 19325 3 19001
280,?b 26 ?a => ?a 3 ?b,18946 26 20515 => 20515 3 18946
281,?b 29 ?a => ?a 3 ?b,<NA>
282,?b 20 ?a => ?a 3 ?b,<NA>
283,?b 13 ?a => ?a 3 ?b,19512 13 18927 => 18927 3 19512
284,?b 32 ?a => ?a 3 ?b,<NA>
285,?b 31 ?a => ?a 3 ?b,<NA>
286,?b 30 ?a => ?a 3 ?b,20015 30 19196 => 19196 3 20015
287,?b 22 ?a => ?a 3 ?b,<NA>
288,?b 6 ?a => ?a 3 ?b,<NA>
289,?b 10 ?a => ?a 3 ?b,<NA>
290,?b 36 ?a => ?a 3 ?b,19095 36 19050 => 19050 3 19095
291,?b 23 ?a => ?a 3 ?b,<NA>
292,?b 19 ?a => ?a 3 ?b,<NA>
293,?b 27 ?a => ?a 3 ?b,20568 27 20562 => 20562 3 20568
294,?b 21 ?a => ?a 3 ?b,<NA>
295,?b 2 ?a => ?a 3 ?b,<NA>
296,?b 14 ?a => ?a 3 ?b,<NA>
297,?b 38 ?a => ?a 3 ?b,<NA>
298,?b 11 ?a => ?a 3 ?b,<NA>
299,?b 4 ?a => ?a 3 ?b,20562 4 20062 => 20062 3 20562
300,?b 33 ?a => ?a 3 ?b,<NA>
301,?b 28 ?a => ?a 3 ?b,19553 28 20510 => 20510 3 19553
302,?b 5 ?a => ?a 3 ?b,<NA>
303,?b 12 ?a => ?a 3 ?b,<NA>
304,?b 25 ?a => ?a 3 ?b,<NA>
305,?b 39 ?a => ?a 3 ?b,<NA>
306,?b 18 ?a => ?a 3 ?b,20412 18 18864 => 18864 3 20412
307,?b 8 ?a => ?a 3 ?b,<NA>
308,?b 37 ?a => ?a 3 ?b,19252 37 19383 => 19383 3 19252
309,?b 34 ?a => ?a 3 ?b,20507 34 20505 => 20505 3 20507
310,?b 15 ?a => ?a 3 ?b,<NA>
311,?a 26 ?b => ?a 3 ?b,18946 26 20515 => 18946 3 20515
312,?b 17 ?a => ?a 3 ?b,<NA>
313,?a 32 ?b => ?a 3 ?b,<NA>
314,?a 27 ?b => ?a 3 ?b,20568 27 20562 => 20568 3 20562
315,?a 21 ?b => ?a 3 ?b,<NA>
316,?a 36 ?b => ?a 3 ?b,19095 36 19050 => 19095 3 19050
317,?a 34 ?b => ?a 3 ?b,20507 34 20505 => 20507 3 20505
318,?a 37 ?b => ?a 3 ?b,19252 37 19383 => 19252 3 19383
319,?a 29 ?b => ?a 3 ?b,<NA>
320,?a 20 ?b => ?a 3 ?b,<NA>
321,?a 25 ?b => ?a 3 ?b,<NA>
322,?a 10 ?b => ?a 3 ?b,<NA>
323,?a 33 ?b => ?a 3 ?b,<NA>
324,?a 30 ?b => ?a 3 ?b,20015 30 19196 => 20015 3 19196
325,?a 8 ?b => ?a 3 ?b,<NA>
326,?a 4 ?b => ?a 3 ?b,20562 4 20062 => 20562 3 20062
327,?a 28 ?b => ?a 3 ?b,19553 28 20510 => 19553 3 20510
328,?a 18 ?b => ?a 3 ?b,20412 18 18864 => 20412 3 18864
329,?a 6 ?b => ?a 3 ?b,<NA>
330,?a 17 ?b => ?a 3 ?b,<NA>
331,?a 12 ?b => ?a 3 ?b,<NA>
332,?a 5 ?b => ?a 3 ?b,<NA>
333,?a 39 ?b => ?a 3 ?b,<NA>
334,?a 22 ?b => ?a 3 ?b,<NA>
335,?a 15 ?b => ?a 3 ?b,<NA>
336,?a 19 ?b => ?a 3 ?b,<NA>
337,?a 31 ?b => ?a 3 ?b,<NA>
338,?a 38 ?b => ?a 3 ?b,<NA>
339,?a 2 ?b => ?a 3 ?b,<NA>
340,?a 11 ?b => ?a 3 ?b,<NA>
341,?a 13 ?b => ?a 3 ?b,19512 13 18927 => 19512 3 18927
342,?a 23 ?b => ?a 3 ?b,<NA>
343,?a 14 ?b => ?a 3 ?b,<NA>
344,?b 35 ?a => ?a 35 ?b,19480 35 20700 => 20700 35 19480
345,?b 33 ?a => ?a 33 ?b,19287 33 19170 => 19170 33 19287
346,?b 21 ?a => ?a 33 ?b,20572 21 20525 => 20525 33 20572
347,?b 29 ?a => ?a 33 ?b,<NA>
