id,rule
0,?b 9 ?a => ?a 9 ?b
1,?b 16 ?a => ?a 16 ?b
2,?b 24 ?a => ?a 24 ?b
3,?b 7 ?a => ?a 7 ?b
4,?b 9 ?a => ?a 24 ?b
5,?a 9 ?b => ?a 24 ?b
6,?b 27 ?a => ?a 27 ?b
7,?b 21 ?a => ?a 21 ?b
8,?b 26 ?a => ?a 26 ?b
9,?b 32 ?a => ?a 32 ?b
10,?b 27 ?a => ?a 32 ?b
11,?a 27 ?b => ?a 32 ?b
12,?b 25 ?a => ?a 25 ?b
13,?b 16 ?a => ?a 25 ?b
14,?b 7 ?a => ?a 25 ?b
15,?a 7 ?b => ?a 25 ?b
16,?a 16 ?b => ?a 25 ?b
17,?b 15 ?a => ?a 15 ?b
18,?b 16 ?a => ?a 15 ?b
19,?b 24 ?a => ?a 15 ?b
20,?a 24 ?b => ?a 15 ?b
21,?a 16 ?b => ?a 15 ?b
22,?b 47 ?a => ?a 47 ?b
23,?b 34 ?a => ?a 34 ?b
24,?b 16 ?a => ?a 34 ?b
25,?b 26 ?a => ?a 34 ?b
26,?b 24 ?a => ?a 34 ?b
27,?b 27 ?a => ?a 34 ?b
28,?a 26 ?b => ?a 34 ?b
29,?a 16 ?b => ?a 34 ?b
30,?a 27 ?b => ?a 34 ?b
31,?a 24 ?b => ?a 34 ?b
32,?b 29 ?a => ?a 29 ?b
33,?b 16 ?a => ?a 29 ?b
34,?a 16 ?b => ?a 29 ?b
35,?b 28 ?a => ?a 28 ?b
36,?b 29 ?a => ?a 28 ?b
37,?b 21 ?a => ?a 28 ?b
38,?b 32 ?a => ?a 28 ?b
39,?b 37 ?a => ?a 28 ?b
40,?a 32 ?b => ?a 28 ?b
41,?b 25 ?a => ?a 28 ?b
42,?a 21 ?b => ?a 28 ?b
43,?a 25 ?b => ?a 28 ?b
44,?a 37 ?b => ?a 28 ?b
45,?a 29 ?b => ?a 28 ?b
46,?b 36 ?a => ?a 36 ?b
47,?b 34 ?a => ?a 36 ?b
48,?b 10 ?a => ?a 36 ?b
49,?b 7 ?a => ?a 36 ?b
50,?b 27 ?a => ?a 36 ?b
51,?b 26 ?a => ?a 36 ?b
52,?a 7 ?b => ?a 36 ?b
53,?a 27 ?b => ?a 36 ?b
54,?a 26 ?b => ?a 36 ?b
55,?a 10 ?b => ?a 36 ?b
56,?a 34 ?b => ?a 36 ?b
57,?b 37 ?a => ?a 37 ?b
58,?b 7 ?a => ?a 37 ?b
