Rule,Support,StandardConfidence,PCAConfidence,HeadCoverage,BodySize,PCABodySize,variable,rule_length,filtered,InSample,rule_type,left_concat_count,right_concat_count,explanation1_s,explanation2_y,perplexity1_s,perplexity2_y,id,instance
?b /education/educational_institution_campus/educational_institution ?a => ?a /education/educational_institution_campus/educational_institution ?b,1,1,1,526,526,526,?a,7,1,0,1,0,0,"The explanation for this rule is: If entity B is an educational institution campus of entity A, then entity A is an educational institution on the campus of entity B.","The explanation for this rule is: When an educational institution campus ""b"" is affiliated with an educational institution ""a"", then the educational institution ""a"" is associated with the educational institution campus ""b"".",27.13593864,23.75109863,0,
?b /education/educational_institution/campuses ?a => ?a /education/educational_institution_campus/educational_institution ?b,0.807984791,0.797373358,1,425,533,425,?a,7,1,0,1,0,0,"The explanation for this rule is: If a certain educational institution has multiple campuses, then each of those campuses is associated with the same educational institution.","The explanation for this rule is: When an educational institution has campuses ""b"", then each of those campuses is associated with the educational institution ""a"".",19.85455704,51.59841537,1,
?b /education/educational_institution_campus/educational_institution ?a => ?a /education/educational_institution/campuses ?b,0.797373358,0.807984791,1,425,526,425,?a,7,1,0,1,0,0,"The explanation for this rule is: If a campus is associated with an educational institution, then that educational institution has the campus as one of its campuses.","The explanation for this rule is: When an educational institution campus ""b"" is part of an educational institution ""a"", then the educational institution ""a"" has campuses including the educational institution campus ""b"".",30.30822563,35.18714523,2,
?b /education/educational_institution/campuses ?a => ?a /education/educational_institution/campuses ?b,1,1,1,533,533,533,?a,7,1,0,1,0,0,"The explanation for this rule is: If an educational institution has campuses, then each of those campuses is also associated with the same educational institution.","The explanation for this rule is: When an educational institution ""b"" has campuses ""a"", then each campus ""a"" is associated with the educational institution ""b"".",30.07242203,31.54232979,3,
?b /location/administrative_division/country ?a => ?a /location/location/contains ?b,0.061526629,0.829015544,0.903954802,320,386,354,?b,7,1,1,1,0,0,"The explanation for this rule is: Countries are contained within administrative divisions, so if a country is linked to an administrative division as its location, then that administrative division contains the country.","The explanation for this rule is: When a country ""a"" is an administrative division of a location ""b"", then the location ""a"" contains the administrative division ""b"".",36.03773499,29.15816689,4,Chhattisgarh /location/administrative_division/country India => India /location/location/contains Chhattisgarh
?b /location/hud_county_place/place ?a => ?a /location/hud_county_place/place ?b,1,1,1,459,459,459,?a,7,1,0,1,0,0,"The explanation for this rule is: If entity A is a specific place within a county defined by the U.S. Department of Housing and Urban Development (HUD), then entity B can be considered as the overall county encompassing that place.","The explanation for this rule is: When a place ""b"" is located within a specific county, then that county contains the place ""a"".",15.99559116,36.02391434,5,
?a /education/educational_institution/campuses ?b => ?a /education/educational_institution_campus/educational_institution ?b,0.807984791,0.797373358,1,425,533,425,?a,7,1,0,2,0,0,"The explanation for this rule is: If an educational institution has campuses, then each of those campuses is associated with the same educational institution.","The explanation for this rule is: When an educational institution has campuses, these campuses are part of the educational institution.",27.3264389,38.22822189,6,
?a /education/educational_institution_campus/educational_institution ?b => ?a /education/educational_institution/campuses ?b,0.797373358,0.807984791,1,425,526,425,?a,7,1,0,2,0,0,"The explanation for this rule is: 
""If an educational institution campus is related to an educational institution as its attribute, then the educational institution has campuses as part of its properties.""","The explanation for this rule is: When an educational institution campus ""?a"" is associated with an educational institution ""?b"", then educational institution ""?b"" has campuses that include the mentioned campus ""?a"".",74.71733093,43.08343124,7,
?a /location/hud_county_place/county ?f ?b /location/us_county/county_seat ?f => ?a /location/us_county/county_seat ?b,0.055248619,0.833333333,1,10,12,10,?a,10,1,0,3,0,0,"The explanation for this rule is: If entity 'a' is a place in a county (hud_county_place) and entity 'b' is the county seat of that county, and both 'a' and 'b' share the same county 'f', then entity 'a' is also related to entity 'b' as the county seat in the broader context of US counties.","The explanation for this rule is: When a place in a county (hud_county_place) is in a specific county ""f"" where the county seat is also in the same county ""f"", then the county seat ""b"" is in the same county ""f"" as the place ""a"".",15.54476738,18.58540154,8,
?a /education/educational_institution/campuses ?f ?b /education/educational_institution/campuses ?f => ?a /education/educational_institution_campus/educational_institution ?b,0.807984791,0.797373358,1,425,533,425,?a,10,1,0,3,0,0,"The explanation for this rule is: If two educational institutions (a and b) have at least one common campus (f), then the educational institution a is related to the educational institution b through the educational institution campus relationship.","The explanation for this rule is: When two educational institutions, represented by ?a and ?b, both have the same campus ?f, it implies that both institutions are part of the same educational institution campus.",32.41482162,40.48154449,9,
