Rule,Head Coverage,Std Confidence,PCA Confidence,Positive Examples,Body size,PCA Body size,Functional variable,Instances,Rules_with_labels,Instances_with_labels,Variable_types
?b  1817  ?a   => ?a  1118  ?b,1.0,1.0,1.0,146,146,146,?a,66698014 1817 66698013 => 90931430 1118 90931431,?b /meteorology/tropical_cyclone_season/strongest_storm ?a => ?a /meteorology/tropical_cyclone/strongest_storm_of ?b,2006 Pacific typhoon season /meteorology/tropical_cyclone_season/strongest_storm Typhoon Yagi => Hurricane Gustav /meteorology/tropical_cyclone/strongest_storm_of 1990 Atlantic hurricane season,"{'?b': ""['/meteorology/tropical_cyclone_season']"", '?a': ""['/meteorology/tropical_cyclone']""}"
?b  167  ?a   => ?a  169  ?b,1.0,1.0,1.0,12331,12331,12331,?a,94343515 167 94343514 => 53771010 169 53771009,?b /time/event/next_in_series ?a => ?a /time/event/previous_in_series ?b,2011 U-League /time/event/next_in_series 2012 U-League => 2008–09 Venezuelan Primera División season /time/event/previous_in_series 2007–08 Venezuelan Primera División season,"{'?b': ""['/time/event', '/sports/sports_league_season']"", '?a': ""['/sports/sports_league_season', '/time/event']""}"
?a  766  ?b   => ?a  767  ?b,0.985609103,0.997290891,0.997966791,2945,2953,2951,?a,32282331 766 97833048 => 57388441 767 51478062,?a /computer/file_format/written_by ?b => ?a /computer/file_format/read_by ?b,Gdb /computer/file_format/written_by InterBase => Ims /computer/file_format/read_by Iconforge,"{'?a': ""['/computer/file_format']"", '?b': ""['/computer/software']""}"
?b  780  ?a   => ?a  961  ?b,0.899501496,0.990014265,0.999446106,9022,9113,9027,?a,91338009 780 91338010 => 80718212 961 80718213,?b /library/public_library_system/central_library ?a => ?a /library/public_library/library_system ?b,Hubbard Public Library /library/public_library_system/central_library Hubbard Public Library Central Library => Griggs County Library Central Library /library/public_library/library_system Griggs County Library,"{'?b': ""['/library/public_library_system']"", '?a': ""['/library/public_library']""}"
?b  286  ?a   => ?a  286  ?b,0.922877687,0.922877687,0.999958113,23873,25868,23874,?a,28727806 286 28727806 => 28727806 286 28727806,?b /location/hud_county_place/place ?a => ?a /location/hud_county_place/place ?b,Douglassville /location/hud_county_place/place Douglassville => Douglassville /location/hud_county_place/place Douglassville,"{'?b': ""['/location/statistical_region', '/location/dated_location', '/location/citytown', '/location/hud_county_place', '/location/location', '/location/hud_foreclosure_area']"", '?a': ""['/location/statistical_region', '/location/dated_location', '/location/citytown', '/location/hud_county_place', '/location/location', '/location/hud_foreclosure_area']""}"
?a  1238  ?b   => ?a  1237  ?b,0.863008082,0.999932139,1.0,14735,14736,14735,?a,41078523 1238 254618 => 16217842 1237 254650,?a /baseball/lifetime_batting_statistics/ending_season ?b => ?a /baseball/lifetime_batting_statistics/last_statistics_season ?b,41078523 /baseball/lifetime_batting_statistics/ending_season 1895 Major League Baseball Season => 16217842 /baseball/lifetime_batting_statistics/last_statistics_season 1929 Major League Baseball Season,"{'?b': ""['/sports/sports_league_season', '/time/event', '/book/book_subject']""}"
?b  1118  ?a   => ?a  1817  ?b,1.0,1.0,1.0,146,146,146,?b,90931430 1118 90931431 => 66698014 1817 66698013,?b /meteorology/tropical_cyclone/strongest_storm_of ?a => ?a /meteorology/tropical_cyclone_season/strongest_storm ?b,Hurricane Gustav /meteorology/tropical_cyclone/strongest_storm_of 1990 Atlantic hurricane season => 2006 Pacific typhoon season /meteorology/tropical_cyclone_season/strongest_storm Typhoon Yagi,"{'?b': ""['/meteorology/tropical_cyclone']"", '?a': ""['/meteorology/tropical_cyclone_season']""}"
?b  169  ?a   => ?a  167  ?b,1.0,1.0,1.0,12331,12331,12331,?b,53771010 169 53771009 => 94343515 167 94343514,?b /time/event/previous_in_series ?a => ?a /time/event/next_in_series ?b,2008–09 Venezuelan Primera División season /time/event/previous_in_series 2007–08 Venezuelan Primera División season => 2011 U-League /time/event/next_in_series 2012 U-League,"{'?b': ""['/time/event']"", '?a': ""['/time/event']""}"
?b  764  ?a   => ?a  634  ?b,0.320670601,0.973969436,0.999969175,32440,33307,32441,?a,21284053 764 16915306 => 37242226 634 37242227,?b /biology/genomic_locus/annotation ?a => ?a /biology/gene/locus ?b,b3028 /biology/genomic_locus/annotation mdaB => tdcA /biology/gene/locus tdcA,"{'?b': ""['/biology/genomic_locus']"", '?a': ""['/biology/gene']""}"
?b  176  ?f  ?a  930  ?f   => ?a  930  ?b,0.941362916,0.996644295,0.996644295,594,596,596,?a,75878578 176 24430784 30813170 930 53954005 => 30813170 930 53954005,?b /education/educational_institution/campuses ?f ?a /education/athletics_brand/institution ?f => ?a /education/athletics_brand/institution ?b,Manchuria Mission College /education/educational_institution/campuses Manchuria Mission College\ main campus DePaul Blue Demons /education/athletics_brand/institution DePaul University => DePaul Blue Demons /education/athletics_brand/institution DePaul University,"{'?b': ""['/education/educational_institution', '/organization/non_profit_organization', '/business/employer', '/education/educational_institution_campus', '/education/university', '/award/award_winner', '/business/business_operation', '/award/ranked_item', '/organization/endowed_organization', '/location/location', '/organization/organization']"", '?f': ""['/education/educational_institution', '/organization/non_profit_organization', '/business/employer', '/education/educational_institution_campus', '/education/university', '/award/award_winner', '/business/business_operation', '/award/ranked_item', '/organization/endowed_organization', '/location/location', '/organization/organization']"", '?a': ""['/education/athletics_brand']""}"
