Rule,Head Coverage,Std Confidence,PCA Confidence,Positive Examples,Body size,PCA Body size,Functional variable,Instances,Rules_with_labels,Instances_with_labels,Variable_types
?a  569  763795   => ?a  578  763793,0.081441264,0.793269231,0.793269231,165,208,208,?a,30191257 569 763795 => 27058286 578 763793,?a /award/competition/instance_of_recurring_competition Iron Chef America => ?a /award/competition/type_of_competition Cooking show,Symon vs. Fraser /award/competition/instance_of_recurring_competition Iron Chef America => Morimoto vs. Zakarian /award/competition/type_of_competition Cooking show,"{'?a': ""['/award/competition', '/time/event', '/tv/tv_series_episode']""}"
?a  245  990145   => ?a  243  807702,0.060150376,0.8,1.0,16,20,16,?a,44220909 245 990145 => 39457393 243 807702,?a /travel/accommodation/accommodation_type Luxury Resort => ?a /travel/accommodation/price_range High end,Sandals Halcyon Beach /travel/accommodation/accommodation_type Luxury Resort => Sandals Grande St. Lucian /travel/accommodation/price_range High end,"{'?a': ""['/location/location', '/travel/accommodation']""}"
?a  491  119365   => ?a  493  119366,0.170731707,0.807692308,1.0,21,26,21,?a,119363 491 119365 => 43669087 493 119366,?a /spaceflight/bipropellant_rocket_engine/oxidizer Dinitrogen tetroxide => ?a /spaceflight/rocket_engine/manufactured_by NPO Energomash,RD-250M /spaceflight/bipropellant_rocket_engine/oxidizer Dinitrogen tetroxide => RD-261 /spaceflight/rocket_engine/manufactured_by NPO Energomash,"{'?a': ""['/spaceflight/bipropellant_rocket_engine', '/spaceflight/rocket_engine']""}"
2683474  671  ?a   => ?a  350  110956,0.061560487,0.830917874,0.977272727,172,207,176,?a,2683474 671 30548146 => 717725 350 110956,Impressionism /visual_art/art_period_movement/associated_artworks ?a => ?a /visual_art/artwork/support Canvas,Impressionism /visual_art/art_period_movement/associated_artworks Café-Concert => The Lighthouse at Honfleur /visual_art/artwork/support Canvas,"{'?a': ""['/visual_art/artwork']""}"
?a  95  719955   => ?a  578  326424,0.064165844,0.833333333,1.0,130,156,130,?a,10076381 95 719955 => 39650652 578 326424,?a /tv/tv_series_episode/series Fear Factor => ?a /award/competition/type_of_competition Reality television,Heist Fear Factor /tv/tv_series_episode/series Fear Factor => Family Beam Walk; Family of Roaches; Kid-A-Pult /award/competition/type_of_competition Reality television,"{'?a': ""['/award/competition', '/time/event', '/tv/tv_series_episode']""}"
?a  776  331227   => ?a  774  331052,0.128606993,0.877606178,0.877606178,2273,2590,2590,?a,39299831 776 331227 => 6463272 774 331052,?a /medicine/drug_formulation/routes Subcutaneous injection => ?a /medicine/drug_formulation/dosage_form Injectable solution,Treatment set ts330454 0.000133/0.00017/4.4e-06/4.4e-06/4.4e-06/0.00083/0.000133/0.00017/0.00017/0.00033/66.67/33.33/33.33/33.33/0.00033/0.0042/0.0017/0.00017/0.0083/0.000133/0.0021/0.0021 injectable solution /medicine/drug_formulation/routes Subcutaneous injection => Blue crab 50 injectable solution /medicine/drug_formulation/dosage_form Injectable solution,"{'?a': ""['/medicine/drug_formulation']""}"
?a  771  331057   => ?a  774  331052,0.124872694,0.878582803,0.878582803,2207,2512,2512,?a,12781288 771 331057 => 6463272 774 331052,?a /medicine/drug_formulation/drug_category Biologic => ?a /medicine/drug_formulation/dosage_form Injectable solution,Aspergillus niger 0.05 injectable solution /medicine/drug_formulation/drug_category Biologic => Blue crab 50 injectable solution /medicine/drug_formulation/dosage_form Injectable solution,"{'?a': ""['/medicine/drug_formulation']""}"
?a  492  ?b   => ?a  493  ?b,0.975609756,0.902255639,0.983606557,120,133,122,?a,119363 492 119366 => 119367 493 119366,?a /spaceflight/rocket_engine/designed_by ?b => ?a /spaceflight/rocket_engine/manufactured_by ?b,RD-250M /spaceflight/rocket_engine/designed_by NPO Energomash => RD-117 /spaceflight/rocket_engine/manufactured_by NPO Energomash,"{'?a': ""['/spaceflight/rocket_engine', '/spaceflight/bipropellant_rocket_engine']"", '?b': ""['/spaceflight/rocket_engine_manufacturer', '/business/business_operation', '/business/employer', '/spaceflight/rocket_engine_designer', '/organization/organization']""}"
?a  1568  ?b   => ?a  1541  ?b,0.04950495,0.9375,0.9375,15,16,16,?b,14523096 1568 3631672 => 15561422 1541 3635077,?a /astronomy/asteroid_family/founding_asteroid_family_member ?b => ?a /astronomy/asteroid_family/asteroid_family_member ?b,Adeona family /astronomy/asteroid_family/founding_asteroid_family_member 145 Adeona => Juno clump /astronomy/asteroid_family/asteroid_family_member 3 Juno,"{'?a': ""['/astronomy/asteroid_family']"", '?b': ""['/astronomy/star_system_body', '/astronomy/celestial_object', '/astronomy/orbital_relationship', '/symbols/namesake', '/astronomy/astronomical_discovery', '/astronomy/asteroid']""}"
?a  490  1870773   => ?a  493  119366,0.382113821,0.94,0.959183673,47,50,49,?a,8512661 490 1870773 => 43431357 493 119366,?a /spaceflight/bipropellant_rocket_engine/fuel Kerosene => ?a /spaceflight/rocket_engine/manufactured_by NPO Energomash,RD-1KhZ /spaceflight/bipropellant_rocket_engine/fuel Kerosene => RD-128 /spaceflight/rocket_engine/manufactured_by NPO Energomash,"{'?a': ""['/spaceflight/bipropellant_rocket_engine', '/spaceflight/rocket_engine']""}"
?a  490  119364   => ?a  493  119366,0.357723577,0.956521739,1.0,44,46,44,?a,40637455 490 119364 => 28343606 493 119366,?a /spaceflight/bipropellant_rocket_engine/fuel Unsymmetrical dimethylhydrazine => ?a /spaceflight/rocket_engine/manufactured_by NPO Energomash,RD-262 /spaceflight/bipropellant_rocket_engine/fuel Unsymmetrical dimethylhydrazine => RD-219U /spaceflight/rocket_engine/manufactured_by NPO Energomash,"{'?a': ""['/spaceflight/bipropellant_rocket_engine', '/spaceflight/rocket_engine']""}"
