id,rule,Instances
0,?b c ?a => ?a c ?b,<NA>
1,?f c ?a ?b c ?f => ?a c ?b,<NA>
2,?a c ?f ?b c ?f => ?a c ?b,<NA>
3,?e c ?b ?a c ?e => ?a c ?b,<NA>
4,?e c ?a ?e c ?b => ?a c ?b,<NA>
5,?b c ?f ?f c ?a => ?a c ?b,<NA>
6,?b c ?f ?a c ?f => ?a c ?b,<NA>
7,?e c ?b ?e c ?a => ?a c ?b,<NA>
8,?a c ?e ?e c ?b => ?a c ?b,<NA>
9,?a c ?f ?f c ?b => ?a c ?b,<NA>
10,?f c ?b ?a c ?f => ?a c ?b,<NA>
11,?e c ?a ?b c ?e => ?a c ?b,<NA>
12,?b c ?e ?e c ?a => ?a c ?b,<NA>
13,?a c ?b => ?a c ?b,1718 0 3207 => 1718 0 3207
14,?a c ?b ?b c ?a => ?a c ?b,<NA>
15,?b c ?a ?b c ?a => ?a c ?b,<NA>
16,?b c ?a ?a c ?b => ?a c ?b,<NA>
17,?a c ?b ?a c ?b => ?a c ?b,1718 0 3207 1718 0 3207 => 1718 0 3207
